Food Name,Energy,Carbohydrate,Protein,Fat
Rice Porridge with Shrimp ,274,50,11.5,3
Nam ngiao Rice Noodle,348,55.6,18.9,5.6
Brown Rice and Stuffed Cucumber with Minced Pork Soup ,386,67.3,14.4,6.3
Congee with Pork,438,50.7,16,20
Fried Rice with Shrimp ,495,54,19,17
Vermicelli Rice Noodle with Fish Chili Sauce ,486,58,20,17
Tuna Sandwich with half Boiled Egg,260,44,12,4
Egg Noodle Soup with Pork,361,42,12,15.9
Wide Rice Noodles with Shrimp in Gravy Sauce,280,54.9,12,1.6
Braised Pork Noodle Soup ,265,40.5,11.5,5.5
Roasted Pork Wonton Noodles,306,41.4,11,10.7
Brown Rice and Spicy Chicken Soup ,382,70.5,18,5.7
Rice Porridge with White Fish ,220,28.2,15,1.6
Fried Rice Grains ,280,49,14,3.5
Rice and Sour Soup with Mixed Vegetables ,235,40,13.7,1.2
Brown Rice and Pork Ball Soup ,325,35.7,12.4,15
Clear Soup Rice Vermicelli with Pork Ball ,304,44.8,7.4,14.5
"Rice and Chili Paste, Boiled Vegetable ",379,46.7,13.1,15
Rice Porridge with Pork,230,40.6,14.7,4.2
Brown Rice and Stir-Fried Broccoli ,372,55.4,13.1,15
Brown Rice and Stir-Fried Asparagus with Shrimp,494,69.4,19.4,15.3
Rice and Stir-Fried Mixed Vegetables ,220,40,13.7,1.2
Rice and Stir-Fried Broccoli ,339,42.1,12.1,14.7
"Fried Pork with Garlic and Pepper, Brown Rice ",463,66.6,20,16
Mung Bean Noodle Spicy Salad with Boiled Egg ,301,50.3,11.4,7.7
"Mixed fruits spicy salad, Boiled Vegetables with Chili Paste and Boiled Egg",287,30,14.5,16
"Rice, Stir-Fried Chinese kale and Steamed Eggs ",374,40,13.9,14.2
Rice and Spicy Sour Soup with Pork  ,390,30,15,10
Omlet Soup with Ginger Fired and Rice ,435,56.8,16.7,14.7
Stir-Fried Cabbage with Tofu and Rice,327,48.3,14.3,9.2
